experiment_id,type,dataset,language_slice,dense_model,sparse_method,sparse_variant,hybrid_alpha,re_ranker,re_rank_topN,chunk_size,overlap,K_dense,K_sparse,K_report,ann_index,hnsw_M,efConstruction,efSearch,seed
DenseOnly__mE5__MIRACL__swahili__c300__s42,dense_only,MIRACL,swahili,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__swahili__c300__s7,dense_only,MIRACL,swahili,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__bengali__c200__s42,dense_only,MIRACL,bengali,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__bengali__c200__s7,dense_only,MIRACL,bengali,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__bengali__c300__s42,dense_only,MIRACL,bengali,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__bengali__c300__s7,dense_only,MIRACL,bengali,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__bengali__c200__s42,dense_only,MIRACL,bengali,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__bengali__c200__s7,dense_only,MIRACL,bengali,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__bengali__c300__s42,dense_only,MIRACL,bengali,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__bengali__c300__s7,dense_only,MIRACL,bengali,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__bengali__c200__s42,dense_only,MIRACL,bengali,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__bengali__c200__s7,dense_only,MIRACL,bengali,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__bengali__c300__s42,dense_only,MIRACL,bengali,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__bengali__c300__s7,dense_only,MIRACL,bengali,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__yoruba__c200__s42,dense_only,MIRACL,yoruba,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__yoruba__c200__s7,dense_only,MIRACL,yoruba,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__MIRACL__yoruba__c300__s42,dense_only,MIRACL,yoruba,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__MIRACL__yoruba__c300__s7,dense_only,MIRACL,yoruba,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__yoruba__c200__s42,dense_only,MIRACL,yoruba,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__yoruba__c200__s7,dense_only,MIRACL,yoruba,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__MIRACL__yoruba__c300__s42,dense_only,MIRACL,yoruba,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__MIRACL__yoruba__c300__s7,dense_only,MIRACL,yoruba,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__yoruba__c200__s42,dense_only,MIRACL,yoruba,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__yoruba__c200__s7,dense_only,MIRACL,yoruba,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__MIRACL__yoruba__c300__s42,dense_only,MIRACL,yoruba,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__MIRACL__yoruba__c300__s7,dense_only,MIRACL,yoruba,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__Mr.TyDi__english__c200__s42,dense_only,Mr.TyDi,english,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__Mr.TyDi__english__c200__s7,dense_only,Mr.TyDi,english,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__Mr.TyDi__english__c300__s42,dense_only,Mr.TyDi,english,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__Mr.TyDi__english__c300__s7,dense_only,Mr.TyDi,english,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__Mr.TyDi__english__c200__s42,dense_only,Mr.TyDi,english,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__Mr.TyDi__english__c200__s7,dense_only,Mr.TyDi,english,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__Mr.TyDi__english__c300__s42,dense_only,Mr.TyDi,english,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__Mr.TyDi__english__c300__s7,dense_only,Mr.TyDi,english,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__Mr.TyDi__english__c200__s42,dense_only,Mr.TyDi,english,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__Mr.TyDi__english__c200__s7,dense_only,Mr.TyDi,english,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__Mr.TyDi__english__c300__s42,dense_only,Mr.TyDi,english,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__Mr.TyDi__english__c300__s7,dense_only,Mr.TyDi,english,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__Mr.TyDi__spanish__c200__s42,dense_only,Mr.TyDi,spanish,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__Mr.TyDi__spanish__c200__s7,dense_only,Mr.TyDi,spanish,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__Mr.TyDi__spanish__c300__s42,dense_only,Mr.TyDi,spanish,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__Mr.TyDi__spanish__c300__s7,dense_only,Mr.TyDi,spanish,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__Mr.TyDi__spanish__c200__s42,dense_only,Mr.TyDi,spanish,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__Mr.TyDi__spanish__c200__s7,dense_only,Mr.TyDi,spanish,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__Mr.TyDi__spanish__c300__s42,dense_only,Mr.TyDi,spanish,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mContriever__Mr.TyDi__spanish__c300__s7,dense_only,Mr.TyDi,spanish,mContriever,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__Mr.TyDi__spanish__c200__s42,dense_only,Mr.TyDi,spanish,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__Mr.TyDi__spanish__c200__s7,dense_only,Mr.TyDi,spanish,mE5,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mE5__Mr.TyDi__spanish__c300__s42,dense_only,Mr.TyDi,spanish,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__mE5__Mr.TyDi__spanish__c300__s7,dense_only,Mr.TyDi,spanish,mE5,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__Mr.TyDi__swahili__c200__s42,dense_only,Mr.TyDi,swahili,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__Mr.TyDi__swahili__c200__s7,dense_only,Mr.TyDi,swahili,LaBSE,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__LaBSE__Mr.TyDi__swahili__c300__s42,dense_only,Mr.TyDi,swahili,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,42
DenseOnly__LaBSE__Mr.TyDi__swahili__c300__s7,dense_only,Mr.TyDi,swahili,LaBSE,,,,,,300,50,100.0,,10,HNSW,32.0,200.0,64.0,7
DenseOnly__mContriever__Mr.TyDi__swahili__c200__s42,dense_only,Mr.TyDi,swahili,mContriever,,,,,,200,50,100.0,,10,HNSW,32.0,200.0,64.0,42
